id;prix_total;date;adresse_livraison
1;44928;2023-03-23T01:51:37;Poitou-Charentes
2;72578;2023-03-23T14:02:00;pixel Administrateur Poitou-Charentes
3;22787;2023-03-22T23:45:15;multi-byte systems Shilling
4;27297;2023-03-23T11:00:23;connecting
5;56314;2023-03-23T10:02:56;Bedfordshire cohesive Sausages
6;94553;2023-03-23T19:21:40;c copying
7;31057;2023-03-23T16:48:05;Oro
8;48327;2023-03-23T12:56:26;Home Frozen invoice
9;73469;2023-03-23T09:57:28;c Producteur Optimized
10;68755;2023-03-23T12:45:29;mindshare
